sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0xbce729580490534fdaa5a4306c49c019418e2823,35091,0.4407032967032967,0.5060715315835016,24016,209.0,480.0,0.45436375749500335,0.6946758251353473,11089.660285709338,21303113.86010886,0.0013963694394574107
0x32564234df8961ae1d640be2cba4aeab54151551,19297,0.24234850863422291,0.4045831935592083,14132,126.0,352.5,0.6662892725728843,0.8288720851402274,6681.816615701455,12763215.074258372,0.015598279525314816
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,5985,0.07516483516483516,0.1701831210191083,1875,207.0,644.0,0.2224,1.2135148669904494,1991.4879136207774,3466682.989915345,0.11094402673350041
0x278d858f05b94576c1e6f73285886876ff6ef8d2,5463,0.06860910518053376,0.16981132075471697,2851,219.0,428.0,0.5548930199929849,0.8919593645520795,1222.4579792070915,2246449.9337732075,0.2304594545121728
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,4753,0.05969230769230769,0.39045428407130534,3283,166.20000000000005,388.0,0.627170271093512,1.602070973976421,2405.9399479332237,4465699.8241925435,0.05891016200294551
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,1064,0.013362637362637363,0.381635581061693,620,197.9,507.0,0.4,1.1432800267315695,1050.4036814367025,2024010.6651424388,0.02537593984962406
0x3bc367866468d4f80096be899b66ab29d03f2717,930,0.011679748822605966,0.22671867381764993,671,166.0,392.0,0.5991058122205664,0.4917053766626995,181.82735020499155,361099.1277899832,0.04086021505376344
0xbbbf03817a447451bad374c97a7c7d566471f2fd,700,0.008791208791208791,0.31645569620253167,415,204.4,421.0,0.5710843373493976,2.281563503875153,439.26369630281675,624847.4213166748,0.017142857142857144
0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,533,0.006693877551020408,0.013538227076454154,220,47.800000000000004,546.0,0.45,0.1887839247059727,70.22515591777127,162782.38554843137,0.15572232645403378
0x9999b0cdd35d7f3b281ba02efc0d228486940515,508,0.006379905808477237,0.09275150629906884,190,92.50000000000001,461.5,0.47368421052631576,1.143003793147085,165.9271949911863,310825.21991743916,0.37401574803149606
0x22ca19f13c5979d93bbe7b082e8e084a6c7b2511,487,0.006116169544740973,0.1704585229261463,42,41.400000000000006,222.0,0.7142857142857143,2.6681944500452826,323.37095439825947,488441.77078575577,0.4086242299794661
0xaf30736465dec110ec6ab68d3a22e4b24968401f,468,0.005877551020408163,0.2465753424657534,108,63.7,379.0,0.6851851851851852,3.5910646481430692,479.2082302353249,798501.4832090185,0.3782051282051282
0x76edb2236c9b58e45ab0b4bc5c462f6f1e52827d,468,0.005877551020408163,0.31388329979879276,246,208.0,427.0,0.5447154471544715,1.4479376310390022,202.5498307917037,356096.3460249127,0.0
0x0501f595d17dd90ff11a9873692ee3f8d478f4e5,426,0.005350078492935636,0.0646335912608102,178,67.89999999999999,663.5,0.42696629213483145,0.37513309342960893,46.15649615969578,118922.06405841318,0.1784037558685446
0x1b81d678ffb9c0263b24a97847620c99d213eb14,365,0.004583987441130298,0.019283601014370245,142,89.0,777.0,0.3591549295774648,0.21750810897538125,94.13761190473555,209478.54464192505,0.2054794520547945
